,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
0,SR Tendulkar,1989-2012,463,452,41,18426,200*,44.83,21368,86.23,49,96,20
1,V Kohli,2008-2023,273,264,40,12844,183,57.33,13704,93.72,46,64,15
2,SC Ganguly,1992-2007,308,297,23,11221,183,40.95,15235,73.65,22,71,16
3,R Dravid,1996-2011,340,314,39,10768,153,39.15,15127,71.18,12,82,13
4,MS Dhoni,2004-2019,347,294,83,10599,183*,50.23,12164,87.13,9,73,10
5,RG Sharma,2007-2023,242,235,34,9795,264,48.73,10897,89.88,30,48,14
6,M Azharuddin,1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9
7,Yuvraj Singh,2000-2017,301,275,39,8609,150,36.47,9846,87.43,14,52,18
8,V Sehwag,1999-2013,241,235,9,7995,219,35.37,7655,104.44,15,37,14
9,S Dhawan,2010-2022,167,164,10,6793,143,44.11,7436,91.35,17,39,5
10,SK Raina,2005-2018,226,194,35,5615,116*,35.31,6005,93.50,5,36,14
11,A Jadeja,1992-2000,196,179,36,5359,119,37.47,7678,69.79,6,30,10
12,G Gambhir,2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11
13,NS Sidhu,1987-1998,136,127,8,4413,134*,37.08,6329,69.72,6,33,7
14,K Srikkanth,1981-1992,146,145,4,4091,123,29.01,5702,71.74,4,27,11
15,N Kapil Dev,1978-1994,225,198,39,3783,175*,23.79,3979,95.07,1,14,13
16,DB Vengsarkar,1976-1991,129,120,19,3508,105,34.73,5179,67.73,1,23,7
17,RJ Shastri,1981-1992,150,128,21,3108,109,29.04,5089,61.07,4,18,5
18,SM Gavaskar,1974-1987,108,102,14,3092,103*,35.13,4966,62.26,1,27,8
19,AM Rahane,2011-2018,90,87,3,2962,111,35.26,3767,78.63,3,24,6
20,M Kaif,2002-2006,125,110,24,2753,111*,32.01,3822,72.03,2,17,8
21,RA Jadeja,2009-2023,173,117,41,2508,87,33.00,2936,85.42,0,13,6
22,VG Kambli,1991-2000,104,97,21,2477,106,32.59,3443,71.94,2,14,4
23,VVS Laxman,1998-2006,86,83,7,2338,131,30.76,3282,71.23,6,10,3
24,RR Singh,1989-2001,136,113,23,2336,100,25.95,3144,74.30,1,9,5
25,SV Manjrekar,1988-1996,74,70,10,1994,105,33.23,3101,64.30,1,15,3
26,KL Rahul,2016-2023,53,51,8,1954,112,45.44,2244,87.07,5,13,2
27,M Amarnath,1975-1989,85,75,12,1924,102*,30.53,3334,57.70,2,13,2
28,M Prabhakar,1984-1996,130,98,21,1858,106,24.12,3083,60.26,2,11,8
29,KD Karthik,2004-2019,94,79,21,1752,79,30.20,2392,73.24,0,9,6
30,AT Rayudu,2013-2019,55,50,14,1694,124*,47.05,2143,79.04,3,10,3
31,SS Iyer,2017-2023,42,38,3,1631,113*,46.60,1690,96.50,2,14,0
32,HH Pandya,2016-2023,73,54,7,1544,92*,32.85,1374,112.37,0,9,4
33,IK Pathan,2004-2012,120,87,21,1544,83,23.39,1941,79.54,0,5,7
34,KM Jadhav,2014-2020,73,52,19,1389,120,42.09,1367,101.60,2,6,2
35,Shubman Gill,2019-2023,23,23,4,1274,208,67.05,1175,108.42,4,5,1
36,NR Mongia,1994-2000,140,96,33,1272,69,20.19,1845,68.94,0,2,4
37,AB Agarkar,1998-2007,191,113,26,1269,95,14.58,1574,80.62,0,3,10
38,D Mongia,2001-2007,57,51,7,1230,159*,27.95,1721,71.47,1,4,4
39,Harbhajan Singh,1998-2015,234,126,35,1213,49,13.32,1502,80.75,0,0,17
40,SM Patil,1980-1986,45,42,1,1005,84,24.51,1223,82.17,0,9,4
41,RV Uthappa,2006-2015,46,42,6,934,86,25.94,1031,90.59,0,6,4
42,A Kumble,1990-2007,269,134,47,903,26,10.37,1481,60.97,0,0,18
43,Yashpal Sharma,1978-1985,42,40,9,883,89,28.48,1401,63.02,0,4,0
44,J Srinath,1991-2003,229,121,38,883,53,10.63,1109,79.62,0,1,19
45,HK Badani,2000-2004,40,36,10,867,100,33.34,1180,73.47,1,4,1
46,RR Pant,2018-2022,30,26,1,865,125*,34.60,811,106.65,1,5,3
47,YK Pathan,2008-2012,57,41,11,810,123*,27.00,713,113.60,2,3,7
48,R Lamba,1986-1989,32,31,2,783,102,27.00,1166,67.15,1,6,2
49,Z Khan,2000-2012,194,96,31,753,34*,11.58,1041,72.33,0,0,14
