,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
0,Arshdeep Singh,2022-2022,3,2,13.1,1,89,0,-,-,6.75,-,0,0,0,0
1,R Ashwin,2010-2022,113,111,1023.3,36,5058,151,4/25,33.49,4.94,40.6,1,0,30,0
2,Avesh Khan,2022-2022,5,5,35.3,2,214,3,3/66,71.33,6.02,71.0,0,0,3,0
3,JJ Bumrah,2016-2022,72,72,634.3,43,2941,121,6/19,24.30,4.63,31.4,5,2,17,0
4,YS Chahal,2016-2023,72,69,623.1,14,3283,121,6/42,27.13,5.26,30.9,5,2,16,0
5,DL Chahar,2018-2022,13,12,85.0,5,489,16,3/27,30.56,5.75,31.8,0,0,1,0
6,RD Chahar,2021-2021,1,1,10.0,0,54,3,3/54,18.00,5.40,20.0,0,0,0,0
7,S Dhawan,2010-2022,167,-,-,-,-,-,-,-,-,-,-,-,83,0
8,RD Gaikwad,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,0,0
9,K Gowtham,2021-2021,1,1,8.0,0,49,1,1/49,49.00,6.12,48.0,0,0,1,0
10,DJ Hooda,2022-2022,10,6,25.0,1,119,3,1/6,39.66,4.76,50.0,0,0,3,0
11,Ishan Kishan,2021-2023,14,-,-,-,-,-,-,-,-,-,-,-,5,2
12,SS Iyer,2017-2023,42,5,6.1,0,39,0,-,-,6.32,-,0,0,16,0
13,VR Iyer,2022-2022,2,1,5.0,0,28,0,-,-,5.60,-,0,0,0,0
14,RA Jadeja,2009-2023,173,167,1444.1,50,7108,191,5/36,37.21,4.92,45.3,7,1,64,0
15,V Kohli,2008-2023,273,48,106.5,1,665,4,1/15,166.25,6.22,160.2,0,0,141,0
16,Kuldeep Yadav,2017-2023,80,78,695.4,19,3627,131,6/25,27.68,5.21,31.8,5,1,11,0
17,B Kumar,2012-2022,121,120,974.3,68,4951,141,5/42,35.11,5.08,41.4,4,1,29,0
18,Mohammed Shami,2013-2023,89,88,745.0,45,4173,162,5/69,25.75,5.60,27.5,9,1,29,0
19,Mohammed Siraj,2019-2023,23,23,179.2,18,854,41,4/32,20.82,4.76,26.2,2,0,5,0
20,T Natarajan,2020-2021,2,2,20.0,1,143,3,2/70,47.66,7.15,40.0,0,0,0,0
21,MK Pandey,2015-2021,29,-,-,-,-,-,-,-,-,-,-,-,10,0
22,HH Pandya,2016-2023,73,68,474.4,11,2667,69,4/24,38.65,5.61,41.2,1,0,29,0
23,KH Pandya,2021-2021,5,5,38.0,1,223,2,1/26,111.50,5.86,114.0,0,0,1,0
24,RR Pant,2018-2022,30,-,-,-,-,-,-,-,-,-,-,-,26,1
25,AR Patel,2014-2023,50,46,394.3,18,1765,56,3/24,31.51,4.47,42.2,0,0,22,0
26,M Prasidh Krishna,2021-2022,14,14,112.2,7,598,25,4/12,23.92,5.32,26.9,2,0,2,0
27,KL Rahul,2016-2023,53,-,-,-,-,-,-,-,-,-,-,-,31,2
28,N Rana,2021-2021,1,1,3.0,0,10,0,-,-,3.33,-,0,0,0,0
29,Ravi Bishnoi,2022-2022,1,1,8.0,0,69,1,1/69,69.00,8.62,48.0,0,0,0,0
30,Shahbaz Ahmed,2022-2022,3,3,26.0,0,125,3,2/32,41.66,4.80,52.0,0,0,1,0
31,NA Saini,2019-2021,8,8,70.0,0,481,6,2/58,80.16,6.87,70.0,0,0,3,0
32,C Sakariya,2021-2021,1,1,8.0,0,34,2,2/34,17.00,4.25,24.0,0,0,2,0
33,SV Samson,2021-2022,11,-,-,-,-,-,-,-,-,-,-,-,7,2
34,KR Sen,2022-2022,1,1,5.0,0,37,2,2/37,18.50,7.40,15.0,0,0,0,0
35,RG Sharma,2007-2023,242,38,98.5,2,515,8,2/27,64.37,5.21,74.1,0,0,87,0
36,PP Shaw,2020-2021,6,-,-,-,-,-,-,-,-,-,-,-,2,0
37,Shubman Gill,2019-2023,23,-,-,-,-,-,-,-,-,-,-,-,13,0
38,SN Thakur,2017-2023,35,35,256.5,9,1599,50,4/52,31.98,6.22,30.8,2,0,7,0
39,Umran Malik,2022-2023,8,7,55.0,2,355,13,3/57,27.30,6.45,25.3,0,0,1,0
40,Washington Sundar,2017-2023,16,14,86.0,2,435,16,3/30,27.18,5.05,32.2,0,0,4,0
41,J Yadav,2016-2022,2,2,14.0,0,61,1,1/8,61.00,4.35,84.0,0,0,1,0
42,SA Yadav,2021-2023,22,-,-,-,-,-,-,-,-,-,-,-,14,0
